zip_code,case_count,report_date
07002,1153,2020-06-08
07003,1070,2020-06-08
07006,398,2020-06-08
07008,635,2020-06-08
07010,493,2020-06-08
07011,1548,2020-06-08
07013,590,2020-06-08
07016,456,2020-06-08
07017,1038,2020-06-08
07018,806,2020-06-08
07024,475,2020-06-08
07026,809,2020-06-08
07030,576,2020-06-08
07032,1210,2020-06-08
07036,1278,2020-06-08
07039,469,2020-06-08
07040,301,2020-06-08
07042,330,2020-06-08
07047,2428,2020-06-08
07050,978,2020-06-08
07052,1206,2020-06-08
07054,451,2020-06-08
07055,2929,2020-06-08
07060,2023,2020-06-08
07065,805,2020-06-08
07071,381,2020-06-08
07076,274,2020-06-08
07080,503,2020-06-08
07083,1518,2020-06-08
07087,3379,2020-06-08
07090,285,2020-06-08
07093,2198,2020-06-08
07103,866,2020-06-08
07104,1548,2020-06-08
07105,1155,2020-06-08
07106,780,2020-06-08
07107,1233,2020-06-08
07108,567,2020-06-08
07109,978,2020-06-08
07110,468,2020-06-08
07111,1370,2020-06-08
07112,574,2020-06-08
07201,1215,2020-06-08
07202,1777,2020-06-08
07203,629,2020-06-08
07205,668,2020-06-08
07206,1257,2020-06-08
07208,1141,2020-06-08
07302,1087,2020-06-08
07304,912,2020-06-08
07305,1644,2020-06-08
07306,1008,2020-06-08
07307,1002,2020-06-08
07407,498,2020-06-08
07410,612,2020-06-08
07424,475,2020-06-08
07430,287,2020-06-08
07450,297,2020-06-08
07470,1248,2020-06-08
07501,1424,2020-06-08
07508,743,2020-06-08
07522,795,2020-06-08
07601,1300,2020-06-08
07621,832,2020-06-08
07631,781,2020-06-08
07644,659,2020-06-08
07650,252,2020-06-08
07652,1043,2020-06-08
07666,1063,2020-06-08
07675,401,2020-06-08
07701,351,2020-06-08
07712,532,2020-06-08
07719,273,2020-06-08
07724,365,2020-06-08
07726,538,2020-06-08
07728,1095,2020-06-08
07731,481,2020-06-08
07740,560,2020-06-08
07747,542,2020-06-08
07748,362,2020-06-08
07751,246,2020-06-08
07753,618,2020-06-08
07801,784,2020-06-08
07840,327,2020-06-08
07860,238,2020-06-08
07866,235,2020-06-08
07869,267,2020-06-08
07871,112,2020-06-08
07901,244,2020-06-08
07920,147,2020-06-08
07950,276,2020-06-08
07960,788,2020-06-08
08002,363,2020-06-08
08003,208,2020-06-08
08005,259,2020-06-08
08012,376,2020-06-08
08015,212,2020-06-08
08016,557,2020-06-08
08021,676,2020-06-08
08028,152,2020-06-08
08037,528,2020-06-08
08043,495,2020-06-08
08046,598,2020-06-08
08050,233,2020-06-08
08053,333,2020-06-08
08054,312,2020-06-08
08055,133,2020-06-08
08057,287,2020-06-08
08060,257,2020-06-08
08075,275,2020-06-08
08080,386,2020-06-08
08081,478,2020-06-08
08085,214,2020-06-08
08087,190,2020-06-08
08088,111,2020-06-08
08094,274,2020-06-08
08096,442,2020-06-08
08104,541,2020-06-08
08105,889,2020-06-08
08109,286,2020-06-08
08205,258,2020-06-08
08234,269,2020-06-08
08302,1171,2020-06-08
08330,161,2020-06-08
08332,382,2020-06-08
08360,632,2020-06-08
08401,307,2020-06-08
08520,633,2020-06-08
08527,811,2020-06-08
08536,106,2020-06-08
08540,330,2020-06-08
08550,137,2020-06-08
08610,662,2020-06-08
08611,1059,2020-06-08
08618,757,2020-06-08
08619,462,2020-06-08
08638,528,2020-06-08
08648,417,2020-06-08
08701,2440,2020-06-08
08721,326,2020-06-08
08723,455,2020-06-08
08724,642,2020-06-08
08742,267,2020-06-08
08753,947,2020-06-08
08755,572,2020-06-08
08757,599,2020-06-08
08759,569,2020-06-08
08807,394,2020-06-08
08816,624,2020-06-08
08817,742,2020-06-08
08820,628,2020-06-08
08822,268,2020-06-08
08831,813,2020-06-08
08844,363,2020-06-08
08854,854,2020-06-08
08857,648,2020-06-08
08859,374,2020-06-08
08861,2241,2020-06-08
08865,446,2020-06-08
08873,1137,2020-06-08
08876,188,2020-06-08
08879,393,2020-06-08
08901,1722,2020-06-08
08902,869,2020-06-08
60002,119,2020-07-06
60004,385,2020-07-06
60005,226,2020-07-06
60007,376,2020-07-06
60008,354,2020-07-06
60010,177,2020-07-06
60012,90,2020-07-06
60013,123,2020-07-06
60014,326,2020-07-06
60015,198,2020-07-06
60016,1148,2020-07-06
60018,691,2020-07-06
60020,44,2020-07-06
60021,22,2020-07-06
60022,34,2020-07-06
60025,400,2020-07-06
60026,160,2020-07-06
60029,8,2020-07-06
60030,212,2020-07-06
60031,374,2020-07-06
60033,233,2020-07-06
60035,293,2020-07-06
60040,181,2020-07-06
60041,55,2020-07-06
60042,48,2020-07-06
60043,19,2020-07-06
60044,112,2020-07-06
60045,135,2020-07-06
60046,232,2020-07-06
60047,473,2020-07-06
60048,177,2020-07-06
60050,242,2020-07-06
60051,135,2020-07-06
60053,329,2020-07-06
60056,672,2020-07-06
60060,468,2020-07-06
60061,184,2020-07-06
60062,356,2020-07-06
60064,670,2020-07-06
60067,263,2020-07-06
60068,344,2020-07-06
60069,98,2020-07-06
60070,278,2020-07-06
60071,16,2020-07-06
60073,1135,2020-07-06
60074,490,2020-07-06
60076,550,2020-07-06
60077,435,2020-07-06
60079,12,2020-07-06
60081,45,2020-07-06
60083,106,2020-07-06
60084,194,2020-07-06
60085,2490,2020-07-06
60087,699,2020-07-06
60088,171,2020-07-06
60089,337,2020-07-06
60090,839,2020-07-06
60091,178,2020-07-06
60093,190,2020-07-06
60096,41,2020-07-06
60097,45,2020-07-06
60098,363,2020-07-06
60099,602,2020-07-06
60101,840,2020-07-06
60102,190,2020-07-06
60103,319,2020-07-06
60104,454,2020-07-06
60106,540,2020-07-06
60107,684,2020-07-06
60108,354,2020-07-06
60109,11,2020-07-06
60110,764,2020-07-06
60112,29,2020-07-06
60115,310,2020-07-06
60118,90,2020-07-06
60119,39,2020-07-06
60120,1426,2020-07-06
60123,961,2020-07-06
60124,148,2020-07-06
60126,355,2020-07-06
60130,168,2020-07-06
60131,369,2020-07-06
60133,789,2020-07-06
60134,199,2020-07-06
60135,52,2020-07-06
60136,67,2020-07-06
60137,174,2020-07-06
60139,677,2020-07-06
60140,109,2020-07-06
60141,26,2020-07-06
60142,119,2020-07-06
60143,205,2020-07-06
60145,8,2020-07-06
60146,10,2020-07-06
60148,423,2020-07-06
60151,20,2020-07-06
60152,85,2020-07-06
60153,536,2020-07-06
60154,222,2020-07-06
60155,182,2020-07-06
60156,170,2020-07-06
60157,12,2020-07-06
60160,786,2020-07-06
60162,178,2020-07-06
60163,101,2020-07-06
60164,549,2020-07-06
60165,187,2020-07-06
60169,423,2020-07-06
60171,137,2020-07-06
60172,249,2020-07-06
60173,112,2020-07-06
60174,207,2020-07-06
60175,117,2020-07-06
60176,180,2020-07-06
60177,306,2020-07-06
60178,74,2020-07-06
60181,301,2020-07-06
60184,8,2020-07-06
60185,790,2020-07-06
60187,164,2020-07-06
60188,524,2020-07-06
60189,125,2020-07-06
60190,68,2020-07-06
60191,235,2020-07-06
60192,69,2020-07-06
60193,293,2020-07-06
60194,190,2020-07-06
60195,21,2020-07-06
60201,351,2020-07-06
60202,458,2020-07-06
60203,36,2020-07-06
60301,30,2020-07-06
60302,241,2020-07-06
60304,87,2020-07-06
60305,59,2020-07-06
60401,49,2020-07-06
60402,1489,2020-07-06
60403,241,2020-07-06
60404,129,2020-07-06
60406,552,2020-07-06
60408,26,2020-07-06
60409,660,2020-07-06
60410,56,2020-07-06
60411,1012,2020-07-06
60415,224,2020-07-06
60416,21,2020-07-06
60417,188,2020-07-06
60418,122,2020-07-06
60419,434,2020-07-06
60420,13,2020-07-06
60421,15,2020-07-06
60422,95,2020-07-06
60423,182,2020-07-06
60424,6,2020-07-06
60425,184,2020-07-06
60426,522,2020-07-06
60428,234,2020-07-06
60429,247,2020-07-06
60430,297,2020-07-06
60431,247,2020-07-06
60432,489,2020-07-06
60433,335,2020-07-06
60434,171,2020-07-06
60435,743,2020-07-06
60436,272,2020-07-06
60438,434,2020-07-06
60439,123,2020-07-06
60440,937,2020-07-06
60441,235,2020-07-06
60442,49,2020-07-06
60443,394,2020-07-06
60445,182,2020-07-06
60446,575,2020-07-06
60447,63,2020-07-06
60448,179,2020-07-06
60449,85,2020-07-06
60450,74,2020-07-06
60451,150,2020-07-06
60452,259,2020-07-06
60453,862,2020-07-06
60455,362,2020-07-06
60456,56,2020-07-06
60457,148,2020-07-06
60458,161,2020-07-06
60459,462,2020-07-06
60461,66,2020-07-06
60462,392,2020-07-06
60463,257,2020-07-06
60464,63,2020-07-06
60465,283,2020-07-06
60466,507,2020-07-06
60467,200,2020-07-06
60468,40,2020-07-06
60469,98,2020-07-06
60471,228,2020-07-06
60472,73,2020-07-06
60473,458,2020-07-06
